neighbourhood,vibe_score,characteristics,sentiment,sentiment_category,review_count
Brooklyn Heights,100.0,"excellent convenience, excellent food scene, excellent walkability",0.41660579690659194,Positive,170
Cobble Hill,100.0,"excellent food scene, excellent charm, excellent convenience",0.42991197721383395,Positive,217
Carroll Gardens,100.0,"excellent convenience, excellent charm, excellent food scene",0.4278809259936884,Positive,629
Park Slope,100.0,"excellent charm, excellent convenience, excellent food scene",0.41242190644644416,Positive,1579
Prospect Heights,100.0,"excellent food scene, excellent convenience, excellent charm",0.4342196585416299,Positive,805
Boerum Hill,99.9,"excellent local authentic, excellent convenience, excellent nightlife",0.4171132818513965,Positive,498
Fort Greene,99.8,"excellent convenience, excellent local authentic, excellent charm",0.40776847655913523,Positive,889
Clinton Hill,99.4,"excellent convenience, excellent nightlife, excellent local authentic",0.40009766992714846,Positive,1174
West Village,96.8,"excellent nightlife, excellent liveliness, excellent food scene",0.4141089331776832,Positive,814
Greenpoint,96.6,"excellent nightlife, excellent food scene, excellent walkability",0.41442964080917455,Positive,1254
DUMBO,96.0,"excellent local authentic, excellent food scene, excellent family friendly",0.4161222881078282,Positive,194
South Slope,95.7,"excellent convenience, excellent charm, excellent food scene",0.4039607144092542,Positive,574
Williamsburg,94.7,"excellent nightlife, excellent food scene, excellent convenience",0.41143258921060494,Positive,4742
Windsor Terrace,94.5,"excellent convenience, excellent walkability, excellent family friendly",0.3869861820623016,Positive,320
Greenwich Village,94.0,"excellent nightlife, excellent food scene, excellent walkability",0.4146593071605038,Positive,244
Nolita,90.5,"excellent food scene, excellent nightlife, excellent walkability",0.425992857741962,Positive,303
Downtown Brooklyn,89.0,"excellent walkability, excellent local authentic, excellent convenience",0.3934668153670748,Positive,187
Rockaway Beach,87.5,"excellent nightlife, excellent charm, excellent walkability",0.41970245150949786,Positive,238
Morris Park,86.5,"excellent local authentic, excellent walkability, excellent safety",0.40696284427785584,Positive,122
Bayside,83.8,"excellent walkability, excellent family friendly, good food scene",0.4028197946473808,Positive,169
Rego Park,83.6,"excellent safety, excellent convenience, family friendly",0.3984985673449152,Positive,170
East Village,83.3,"excellent nightlife, excellent liveliness, excellent local authentic",0.40270436629140716,Positive,2395
Gowanus,83.3,"excellent convenience, excellent walkability, excellent local authentic",0.3766388732885045,Positive,678
Flatbush,82.8,"excellent convenience, excellent charm, good local authentic",0.38088238078773407,Positive,1374
Prospect-Lefferts Gardens,82.0,"excellent convenience, excellent liveliness, excellent local authentic",0.3802024750159999,Positive,1247
Sheepshead Bay,81.9,"good safety, good family friendly, convenience",0.3967934385589516,Positive,425
Morningside Heights,80.6,"excellent nightlife, excellent convenience, excellent safety",0.3846918509149698,Positive,209
Ditmars Steinway,80.0,"excellent safety, excellent walkability, excellent convenience",0.37724421901055144,Positive,773
Ridgewood,79.6,"excellent convenience, excellent nightlife, excellent safety",0.37936746767294255,Positive,552
Murray Hill,78.5,"excellent food scene, excellent walkability, excellent local authentic",0.38440272411289816,Positive,506
Arverne,78.1,"excellent local authentic, excellent walkability, excellent family friendly",0.389763933489778,Positive,344
Columbia St,77.2,"excellent walkability, excellent family friendly, excellent charm",0.4228008949045011,Positive,112
Bedford-Stuyvesant,75.4,"excellent local authentic, excellent charm, good nightlife",0.38173139205038115,Positive,9513
Bushwick,75.0,"excellent nightlife, excellent liveliness, good local authentic",0.38338159426778673,Positive,3270
Crown Heights,74.3,"excellent convenience, excellent nightlife, good charm",0.3788630272551442,Positive,3483
Kips Bay,73.8,"excellent food scene, excellent nightlife, good convenience",0.37932847673431536,Positive,506
SoHo,73.6,"excellent liveliness, excellent food scene, good nightlife",0.3967839936443867,Positive,734
Midwood,73.3,"excellent safety, excellent quietness, local authentic",0.3803634357116486,Positive,224
Forest Hills,72.6,"excellent safety, excellent walkability, excellent nightlife",0.3619592028659367,Positive,203
Upper East Side,72.1,"excellent safety, good nightlife, good food scene",0.3693024654628023,Positive,1668
Bay Ridge,71.8,"excellent safety, excellent liveliness, good convenience",0.37115895008730804,Positive,243
Upper West Side,71.7,"excellent convenience, excellent local authentic, good liveliness",0.36241488341655975,Positive,2255
Lower East Side,69.8,"excellent nightlife, excellent food scene, excellent liveliness",0.3872555108423978,Positive,1891
Fort Hamilton,69.5,"good safety, walkability, food scene",0.3831711644142515,Positive,364
NoHo,69.0,"excellent walkability, excellent local authentic, excellent convenience",0.42432744001550254,Positive,99
Bensonhurst,68.4,"excellent convenience, excellent safety, liveliness",0.37791212014100783,Positive,177
Sunset Park,68.0,"good convenience, charm, liveliness",0.3739570371664031,Positive,1096
Gramercy,67.1,"excellent food scene, excellent safety, good nightlife",0.36946616769020935,Positive,629
Astoria,66.3,"excellent convenience, good safety, good nightlife",0.35947508092440844,Positive,1985
Roosevelt Island,66.1,"excellent quietness, good charm, good safety",0.3840032601860458,Positive,137
Financial District,65.3,good food scene,0.40730435430405937,Positive,1574
Borough Park,64.3,"excellent convenience, excellent safety, excellent food scene",0.36667778853976984,Positive,178
Flushing,64.2,"good walkability, safety, quietness",0.3770917749136103,Positive,1254
Red Hook,64.1,"excellent local authentic, excellent charm, excellent quietness",0.38295783237718206,Positive,161
Canarsie,64.1,"excellent quietness, good charm, family friendly",0.39510691930340935,Positive,1237
Rosedale,63.6,"excellent family friendly, good quietness",0.3979141868162895,Positive,403
Concourse,61.8,"excellent local authentic, excellent convenience, nightlife",0.36332847867423196,Positive,318
Richmond Hill,61.0,"excellent safety, good family friendly, walkability",0.36153483101657763,Positive,315
Wakefield,60.6,"excellent family friendly, convenience, charm",0.37526364521740424,Positive,170
Sunnyside,60.5,"excellent convenience, excellent safety, excellent quietness",0.35766480995664446,Positive,753
East Flatbush,60.5,"charm, safety, nightlife",0.37847024745842794,Positive,1670
Woodside,60.4,"excellent convenience, good safety, good family friendly",0.3659827067945246,Positive,520
Kensington,60.0,"excellent nightlife, excellent quietness, excellent walkability",0.3566911311192005,Positive,239
Jackson Heights,57.0,"good safety, good convenience, local authentic",0.36089502105315235,Positive,520
Hell's Kitchen,57.0,"excellent local authentic, excellent walkability, good food scene",0.36112120268969017,Positive,3302
Flatlands,56.4,"good family friendly, quietness",0.39350068903939556,Positive,300
Harlem,55.8,"excellent convenience, good local authentic, good liveliness",0.3502978034033127,Positive,5949
Laurelton,55.6,good quietness,0.39362212373205063,Positive,147
Battery Park City,54.6,"excellent food scene, nightlife, liveliness",0.3822313272310837,Positive,179
Long Island City,54.3,"excellent convenience, good safety, nightlife",0.3488711742944237,Positive,1178
Inwood,54.1,"excellent safety, good convenience, good liveliness",0.3531787765900942,Positive,293
Coney Island,54.0,"excellent walkability, excellent liveliness, excellent convenience",0.4187127466864626,Positive,89
Gravesend,53.8,excellent convenience,0.3743406731416403,Positive,195
Tribeca,53.6,"excellent liveliness, food scene, nightlife",0.37937878179013146,Positive,219
Chelsea,53.5,"excellent local authentic, good walkability, good food scene",0.3596686130649077,Positive,2584
Maspeth,51.9,"excellent safety, excellent family friendly, good quietness",0.3619229019144249,Positive,338
Longwood,51.4,"excellent safety, family friendly, food scene",0.3530367086360862,Positive,160
Elmhurst,50.6,"excellent convenience, good safety, liveliness",0.3463460566744915,Positive,541
Corona,50.5,"good local authentic, good safety, liveliness",0.36050481698076065,Positive,237
Bath Beach,48.8,"excellent quietness, excellent family friendly, good charm",0.40425623541329364,Positive,116
